"","DHB2015_name","DHB2015_code","AU2017_code","AU2017_name"
"1248","Lakes",6,539600,"Fordlands"
"1249","Auckland",3,518702,"Hillsborough East"
"1250","Auckland",3,515901,"Parnell East"
"1251","Counties Manukau",4,523816,"Randwick Park"
"1252","Southern",22,601500,"Aramoana"
"1253","Auckland",3,514801,"Rosebank"
"1254","Southern",22,607200,"Owaka"
"1255","Counties Manukau",4,525630,"Papakura North East"
"1256","Northland",1,614502,"Inlet-Hokianga Harbour"
"1257","Southern",22,602412,"Wingatui"
"1258","Whanganui",11,555700,"Castlecliff North"
"1259","Whanganui",11,555000,"Ohakune"
"1260","Tairāwhiti",8,544802,"Tamarau"
"1261","Counties Manukau",4,523402,"Otara West"
"1262","West Coast",17,585316,"Waimea-Arahura"
"1263","Waitematā",2,505803,"Waiwera"
"1264","Whanganui",11,556700,"Wanganui Collegiate"
"1265","Auckland",3,517902,"Owairaka West"
"1266","Wairarapa",15,579501,"Mt Holdsworth"
"1267","Southern",22,609303,"Arthurs Point"
"1268","Counties Manukau",4,526103,"Waiuku West"
"1269","Nelson Marlborough",16,580801,"Ward"
"1270","Lakes",6,540200,"Koutu"
"1271","Area outside District Health Board",99,626601,"Oceanic-Campbell Island"
"1272","Hutt Valley",13,570100,"Wilford"
"1273","Bay of Plenty",7,536203,"Doncaster"
"1274","South Canterbury",19,599900,"Redruth"
"1275","Auckland",3,517800,"Mt Albert Central"
"1276","Hawke's Bay",10,545202,"Frasertown"
"1277","Canterbury",18,591500,"Cathedral Square"
"1278","Southern",22,603920,"Halfway Bush"
"1279","MidCentral",12,562402,"Papaeoia"
"1280","Waitematā",2,505500,"Warkworth"
"1281","Nelson Marlborough",16,581717,"Aniseed Hill"
"1282","Canterbury",18,587702,"Wigram"
"1283","Nelson Marlborough",16,581832,"Kaiteriteri"
"1284","Waitematā",2,506647,"Kaukapakapa"
"1285","Canterbury",18,585807,"Loburn"
"1286","Hawke's Bay",10,545740,"Haumoana"
"1287","Waikato",5,527820,"Temple View"
"1288","Canterbury",18,587844,"Westmorland"
"1289","Southern",22,608303,"Clyde"
"1290","West Coast",17,585311,"Harihari"
"1291","Hutt Valley",13,568303,"Naenae South"
"1292","Capital and Coast",14,566000,"Paraparaumu Central"
"1293","South Canterbury",19,600321,"Inland Water-Lake Alexandrina"
"1294","Nelson Marlborough",16,581836,"Wai-Iti"
"1295","Counties Manukau",4,523502,"Otara East"
"1296","Waikato",5,535220,"Okauia"
"1297","Auckland",3,514402,"Glenavon"
"1298","Nelson Marlborough",16,584304,"Moutere Inlet"
"1299","Lakes",6,541316,"Wharewaka"
"1300","Southern",22,607000,"Clinton"
"1301","South Canterbury",19,599200,"Glenwood"
"1302","Capital and Coast",14,571200,"Cannons Creek South"
"1303","Counties Manukau",4,523300,"Beachlands-Maraetai"
"1304","Waikato",5,618300,"Te Motu Island"
"1305","Capital and Coast",14,575300,"Kelburn"
"1306","Auckland",3,617400,"Inlet-Hobson Bay"
"1307","Canterbury",18,593502,"Phillipstown"
"1308","Northland",1,500206,"North Cape"
"1309","Counties Manukau",4,524713,"Rowandale"
"1310","Waikato",5,529300,"Glenview"
"1311","Northland",1,503700,"Parahaki"
"1312","Taranaki",9,553200,"Opunake"
"1313","Capital and Coast",14,571501,"Papakowhai North"
"1314","MidCentral",12,562921,"Awapuni West"
"1315","Southern",22,605500,"St Kilda Central"
"1316","West Coast",17,584922,"Blackball"
"1317","Hawke's Bay",10,547002,"Tamatea South"
"1318","Northland",1,503500,"Raumanga East"
"1319","Canterbury",18,585803,"Leithfield"
"1320","Canterbury",18,593501,"Linwood"
"1321","West Coast",17,585313,"Fox Glacier"
"1322","Waikato",5,619000,"Inlet-Raglan Harbour"
"1323","Southern",22,611400,"Georgetown"
"1324","Hawke's Bay",10,549200,"Tikokino"
"1325","Northland",1,500301,"Kaitaia West"
"1326","Waitematā",2,505804,"Hatfields Beach"
"1327","Northland",1,501613,"Bay of Islands"
"1328","Capital and Coast",14,565902,"Otaihanga"
"1329","Whanganui",11,558300,"Fordell-Kakatahi"
"1330","Hawke's Bay",10,546902,"Mclean Park"
"1331","Waikato",5,528800,"Maeroa"
"1332","Hutt Valley",13,568800,"Gracefield"
"1333","Southern",22,626801,"Inlet-Bluff Harbour"
"1334","Hawke's Bay",10,545201,"Tuai"
"1335","MidCentral",12,560302,"Whakarongo"
"1336","Waikato",5,526400,"Rotowaro"
"1337","Auckland",3,516003,"Abbotts Park"
"1338","Area outside District Health Board",99,617200,"Inlet-Takapuna Head"
"1339","Southern",22,601020,"Orana Park"
"1340","Waitematā",2,513101,"Swanson"
"1341","Wairarapa",15,579700,"Carterton"
"1342","Northland",1,502005,"Otaika-Portland"
"1343","Area outside District Health Board",99,624600,"Oceanic-West Coast Region"
"1344","Taranaki",9,553102,"Stratford East"
"1345","Southern",22,610062,"Myross Bush"
"1346","Waitematā",2,511901,"Kaurilands"
"1347","Waitematā",2,513213,"Ranui Domain"
"1348","Bay of Plenty",7,538302,"Welcome Bay West"
"1349","Capital and Coast",14,566301,"Kapiti Island"
"1350","Auckland",3,515301,"Ponsonby West"
"1351","Canterbury",18,596400,"Lyttelton"
"1352","West Coast",17,585307,"Kaniere"
"1353","Auckland",3,519300,"One Tree Hill Central"
"1354","MidCentral",12,563500,"Shannon"
"1355","Counties Manukau",4,523109,"Dannemora"
"1356","Whanganui",11,557500,"Williams Domain"
"1357","Capital and Coast",14,566301,"Kapiti Island"
"1358","South Canterbury",19,600410,"Waihao"
"1359","Northland",1,501806,"Marsden Point-Ruakaka"
"1360","Southern",22,608600,"Cromwell"
"1361","Northland",1,503600,"Morningside"
"1362","Southern",22,603500,"Woodhaugh"
"1363","Southern",22,626802,"Inlet-New River Estuary"
"1364","Area outside District Health Board",99,621402,"Oceanic-Taranaki Region"
"1365","Capital and Coast",14,572900,"Thorndon-Tinakori Road"
"1366","Auckland",3,515802,"Epsom South"
"1367","West Coast",17,584911,"Kaiata"
"1368","Waikato",5,532903,"Sunshine-Hospital Hill"
"1369","Lakes",6,540410,"Kuirau"
"1370","Waitematā",2,506003,"Silverdale South"
"1371","Lakes",6,539200,"Fairy Springs"
"1372","Southern",22,600831,"Aviemore"
"1373","Canterbury",18,587702,"Wigram"
"1374","Southern",22,610230,"Central Gore"
"1375","Bay of Plenty",7,536614,"Tahawai"
"1376","Nelson Marlborough",16,584303,"Motueka East"
"1377","Hawke's Bay",10,545832,"Pakowhai"
"1378","Southern",22,606800,"Milton"
"1379","Waikato",5,528800,"Maeroa"
"1380","Southern",22,611001,"Waverley-Glengarry"
"1381","Waitematā",2,506655,"Muriwai Valley"
"1382","Auckland",3,518202,"Mt Eden East"
"1383","Counties Manukau",4,522302,"Papatoetoe East"
"1384","Lakes",6,540520,"Glenholme West"
"1385","Canterbury",18,595000,"Spreydon"
"1386","West Coast",17,585313,"Fox Glacier"
"1387","South Canterbury",19,599200,"Glenwood"
"1388","Nelson Marlborough",16,580200,"Havelock"
"1389","Northland",1,501806,"Marsden Point-Ruakaka"
"1390","Hutt Valley",13,568201,"Taita North"
"1391","Waitematā",2,506800,"Helensville"
"1392","Waikato",5,527007,"Horsham Downs"
"1393","Canterbury",18,593300,"Richmond South"
"1394","Counties Manukau",4,522722,"Highland Park"
"1395","Southern",22,602500,"Taieri"
"1396","Hawke's Bay",10,545722,"Whakatu"
"1397","Northland",1,503300,"Horahora"
"1398","Waikato",5,527004,"Matangi"
"1399","Auckland",3,517100,"Point England"
"1400","Waikato",5,527222,"Meremere"
"1401","Hawke's Bay",10,546400,"Onekawa West"
"1402","Capital and Coast",14,576002,"Island Bay East"
"1403","Auckland",3,514302,"Grafton East"
"1404","Canterbury",18,592701,"Shirley West"
"1405","Auckland",3,520202,"Ellerslie South"
"1406","South Canterbury",19,598320,"Pleasant Point"
"1407","Canterbury",18,597860,"Tinwald"
"1408","Bay of Plenty",7,542901,"Te Kaha"
"1409","Taranaki",9,554020,"Hawera South"
"1410","MidCentral",12,564021,"Mangaore-Manakau"
"1411","Southern",22,626500,"Dog Island"
"1412","Bay of Plenty",7,542906,"Waiotahi"
"1413","Bay of Plenty",7,537800,"Poike"
"1414","Nelson Marlborough",16,581722,"Waimea Inlet East"
"1415","Auckland",3,515301,"Ponsonby West"
"1416","Taranaki",9,554300,"Waitotara"
"1417","Southern",22,607000,"Clinton"
"1418","Waikato",5,532901,"Tarrangower"
"1419","Hutt Valley",13,565400,"Pencarrow"
"1420","Waikato",5,529600,"Chartwell"
"1421","Taranaki",9,553400,"Kaponga"
"1422","Wairarapa",15,578901,"Solway North"
"1423","Capital and Coast",14,565903,"Paraparaumu Beach South"
"1424","Bay of Plenty",7,542200,"Edgecumbe"
"1425","West Coast",17,584930,"Dobson"
"1426","Taranaki",9,554114,"Waingongoro"
"1427","Auckland",3,516102,"Waitaramoa"
"1428","Taranaki",9,551112,"Kaitake"
"1429","Counties Manukau",4,523602,"Ferguson"
"1430","West Coast",17,584931,"Barrytown"
"1431","Counties Manukau",4,524121,"Arahanga"
"1432","Hutt Valley",13,568202,"Taita South"
"1433","Southern",22,600827,"Omarama"
"1434","Counties Manukau",4,521121,"Patumahoe"
"1435","Lakes",6,539500,"Sunnybrook"
"1436","Counties Manukau",4,522910,"Pakuranga Central"
"1437","Waikato",5,532902,"Taumarunui Central"
"1438","Counties Manukau",4,522820,"Sunnyhills"
"1439","MidCentral",12,563200,"Hokowhitu East"
"1440","South Canterbury",19,598000,"Winchester"
"1441","Lakes",6,538731,"Owhata South"
"1442","Capital and Coast",14,563705,"Waikanae Park"
"1443","Waitematā",2,508806,"North Harbour West"
"1444","Bay of Plenty",7,618500,"Mayor Island"
"1445","Bay of Plenty",7,536615,"Aongatete"
"1446","Canterbury",18,596000,"Mt Pleasant"
"1447","Southern",22,603100,"Stuart St-Frederick St"
"1448","Canterbury",18,595400,"Somerfield"
"1449","Hawke's Bay",10,547400,"Pirimai"
"1450","Waikato",5,532000,"Te Kuiti"
"1451","Taranaki",9,551800,"New Plymouth Central"
"1452","Southern",22,607600,"Tapanui"
"1453","Counties Manukau",4,523107,"Burswood"
"1454","Nelson Marlborough",16,581841,"Golden Downs"
"1455","Counties Manukau",4,525202,"Kawakawa-Orere"
"1456","Waikato",5,535212,"Kinleith"
"1457","Wairarapa",15,579000,"Ngaumutawa"
"1458","South Canterbury",19,598312,"Orari"
"1459","Taranaki",9,550600,"Urenui"
"1460","Bay of Plenty",7,536503,"Te Puna"
"1461","Southern",22,612100,"Bluff"
"1462","Northland",1,501633,"Waihou Valley-Hupara"
"1463","Auckland",3,516601,"Kohimarama West"
"1464","Waikato",5,531301,"Otorohanga Rural West"
"1465","Taranaki",9,553601,"Eltham"
"1466","Taranaki",9,552500,"Struan Park"
"1467","Southern",22,606220,"East Taieri"
"1468","Northland",1,500401,"Kaeo"
"1469","Canterbury",18,591600,"Hagley Park"
"1470","Canterbury",18,586404,"Mansfield"
"1471","South Canterbury",19,598800,"Waimataitai"
"1472","Auckland",3,518600,"Royal Oak"
"1473","Canterbury",18,593400,"Avonside"
"1474","Waikato",5,528310,"Bryant"
"1475","Tairāwhiti",8,543301,"East Cape"
"1476","Waitematā",2,508320,"Glenfield North"
"1477","Area outside District Health Board",99,627204,"Auckland Islands"
"1478","Canterbury",18,590504,"Mairehau North"
"1479","Southern",22,601040,"Oamaru South"
"1480","Waikato",5,531200,"Otorohanga"
"1481","Canterbury",18,588102,"Redwood South"
"1482","Taranaki",9,551111,"Lepperton"
"1483","Southern",22,602900,"Fernhill"
"1484","Counties Manukau",4,523000,"Pakuranga East"
"1485","Canterbury",18,589400,"Fendalton"
"1486","Whanganui",11,558800,"Ratana Community"
"1487","Canterbury",18,581500,"Kaikoura Rural"
"1488","Canterbury",18,589602,"Merrin"
"1489","Bay of Plenty",7,537202,"Otumoetai South"
"1490","MidCentral",12,561811,"Kairanga"
"1491","MidCentral",12,563802,"Opiki"
"1492","Capital and Coast",14,577102,"Strathmore Park"
"1493","Hawke's Bay",10,545913,"Whanawhana"
"1494","Canterbury",18,592401,"St Albans West"
"1495","Capital and Coast",14,574702,"Wilton"
"1496","Area outside District Health Board",99,622102,"Seaview Marina"
"1497","Waitematā",2,506901,"Awaruku"
"1498","Waitematā",2,513220,"Sturges North"
"1499","Hawke's Bay",10,545710,"Twyford"
"1500","Auckland",3,517701,"Sandringham North"
"1501","Capital and Coast",14,577200,"Miramar South"
"1502","West Coast",17,585318,"Hokitika Valley"
"1503","Canterbury",18,587302,"Halswell South"
"1504","Canterbury",18,588600,"Harewood"
"1505","Counties Manukau",4,521602,"Howick Central"
"1506","Southern",22,609302,"Queenstown Hill"
"1507","Taranaki",9,554115,"Hawera West"
"1508","Auckland",3,520303,"Mt Wellington North"
"1509","Waikato",5,527600,"Ohaupo"
"1510","Auckland",3,514900,"Waterview"
"1511","Waitematā",2,510220,"Birkdale South"
"1512","Auckland",3,616300,"Browns Island"
"1513","Counties Manukau",4,524303,"Kohuora"
"1514","Lakes",6,541319,"Lakewood"
"1515","Capital and Coast",14,573901,"Paparangi"
"1516","West Coast",17,585325,"Haast"
"1517","Northland",1,503100,"Whangarei Central"
"1518","Whanganui",11,555300,"Blueskin"
"1519","South Canterbury",19,598314,"Pareora"
"1520","Southern",22,603920,"Halfway Bush"
"1521","West Coast",17,584405,"Orowaiti"
"1522","Waikato",5,619102,"Inlets-Otorohanga District"
"1523","Southern",22,608800,"Wanaka"
"1524","Lakes",6,541740,"Hilltop"
"1525","MidCentral",12,564240,"Levin East"
"1526","Waikato",5,527501,"Cambridge North"
"1527","Capital and Coast",14,571300,"Cannons Creek East"
"1528","Waikato",5,533603,"Hikuai"
"1529","Canterbury",18,587811,"Yaldhurst"
"1530","Taranaki",9,551030,"Omata"
"1531","Southern",22,600830,"Otematata"
"1532","Canterbury",18,590900,"Riccarton South"
"1533","Northland",1,500202,"Karikari Peninsula-Maungataniwha"
"1534","Capital and Coast",14,575901,"Brooklyn South"
"1535","Canterbury",18,597506,"Selwyn-Rakaia"
"1536","Hawke's Bay",10,548500,"Camberley"
"1537","Counties Manukau",4,522730,"Half Moon Bay"
"1538","Counties Manukau",4,521502,"Cockle Bay"
"1539","Canterbury",18,587304,"Oaklands East"
"1540","Canterbury",18,581500,"Kaikoura Rural"
"1541","Canterbury",18,597730,"Hinds"
"1542","West Coast",17,585320,"Waitaha"
"1543","Waikato",5,527810,"Peacocke"
"1544","Waikato",5,527922,"Pirongia"
"1545","Southern",22,610032,"Chatton"
"1546","Northland",1,501614,"Kapiro"
"1547","Waikato",5,531002,"Te Awamutu Central"
"1548","Taranaki",9,554113,"Tawhiti"
"1549","Counties Manukau",4,617604,"Tidal-Manukau Harbour"
"1550","South Canterbury",19,598311,"Ben Mcleod"
"1551","Capital and Coast",14,572000,"Mana-Camborne"
"1552","Waikato",5,535241,"Karapiro"
"1553","West Coast",17,584600,"Reefton"
"1554","MidCentral",12,564023,"Te Horo"
"1555","Hawke's Bay",10,545762,"Longlands South"
"1556","Bay of Plenty",7,542561,"Waimana"
"1557","Hutt Valley",13,565100,"Arakura"
"1558","Waitematā",2,511002,"Woodglen"
"1559","Capital and Coast",14,573903,"Newlands North"
"1560","Wairarapa",15,579802,"Tuturumuri"
"1561","Hawke's Bay",10,545301,"Raupunga"
"1562","Capital and Coast",14,575702,"Vogeltown"
"1563","Waikato",5,619101,"Inlet-Aotea Harbour North"
"1564","MidCentral",12,564013,"Kohitere"
"1565","Nelson Marlborough",16,580449,"Rapaura"
"1566","Canterbury",18,587904,"West Melton"
"1567","Southern",22,605400,"St Kilda West"
"1568","Waitematā",2,513511,"Westgate"
"1569","Auckland",3,518801,"Walmsley"
"1570","Taranaki",9,551024,"Barrett"
"1571","Waitematā",2,506001,"Weiti River"
"1572","Hawke's Bay",10,545842,"Bridge Pa"
"1573","Southern",22,625800,"Inlet-Otago Harbour"
"1574","Southern",22,610800,"Gladstone-Avenal"
"1575","Waikato",5,535000,"Waharoa"
"1576","Southern",22,611300,"West Invercargill"
"1577","Area outside District Health Board",99,625902,"Oceanic-Otago Region"
"1578","Hawke's Bay",10,548100,"Parkvale"
"1579","Bay of Plenty",7,536821,"Omanu"
"1580","Wairarapa",15,579900,"Greytown"
"1581","Auckland",3,514700,"Blockhouse Bay"
"1582","Area outside District Health Board",99,620904,"Bare Island"
"1583","Lakes",6,541720,"Taupo Central"
"1584","Hawke's Bay",10,545304,"Mahia"
"1585","Area outside District Health Board",99,617703,"Tamaki Strait"
"1586","Whanganui",11,556400,"Gonville West"
"1587","Southern",22,609032,"Wakatipu Basin"
"1588","Area outside District Health Board",99,619702,"Oceanic-Bay of Plenty Region"
"1589","Waikato",5,534500,"Tahuroa"
"1590","Southern",22,612300,"Ohai"
"1591","Auckland",3,617903,"Auckland City-Marinas"
"1592","Waitematā",2,508900,"Long Bay"
"1593","Nelson Marlborough",16,581843,"Murchison"
"1594","Waitematā",2,513212,"Starling Park"
"1595","Southern",22,604130,"Kenmure"
"1596","Waikato",5,526602,"Te Uku"
"1597","Southern",22,609700,"Edendale Community"
"1598","Waitematā",2,513701,"Taupaki"
"1599","Waikato",5,531731,"Waipa Valley"
"1600","Southern",22,600811,"Pukeuri"
"1601","Bay of Plenty",7,537700,"Yatton Park"
"1602","Southern",22,609921,"Bushy Point"
"1603","Area outside District Health Board",99,520803,"Bays-Waiheke Island"
"1604","Waikato",5,527915,"Lake Cameron"
"1605","Counties Manukau",4,523911,"Takanini North"
"1606","Counties Manukau",4,525700,"Red Hill"
"1607","Hutt Valley",13,568104,"Manuka"
"1608","Bay of Plenty",7,538301,"Kaitemako"
"1609","Northland",1,504800,"Ruawai"
"1610","Area outside District Health Board",99,622101,"Inlet-Wellington Harbour"
"1611","Counties Manukau",4,525921,"Pukekohe West"
"1612","Canterbury",18,597840,"Ashburton Central East"
"1613","Hawke's Bay",10,545500,"Wairoa"
"1614","MidCentral",12,561902,"Turitea"
"1615","Waikato",5,530400,"Bader"
"1616","Capital and Coast",14,566302,"Maungakotukutuku"
"1617","Bay of Plenty",7,537100,"Bellevue"
"1618","Lakes",6,538722,"Ngapuna"
"1619","Northland",1,503200,"Riverside"
"1620","Waitematā",2,513522,"Lucken Point"
"1621","Waikato",5,619302,"Islands-Thames-Coromandel District"
"1622","Counties Manukau",4,524822,"Clendon South"
"1623","Counties Manukau",4,523112,"Highbrook"
"1624","Canterbury",18,586604,"Ohoka"
"1625","Waikato",5,533400,"Tairua"
"1626","West Coast",17,585314,"Taramakau"
"1627","Southern",22,610080,"Toetoes"
"1628","Taranaki",9,554111,"Ohawe Beach"
"1629","Canterbury",18,585602,"Cheviot"
"1630","Auckland",3,514000,"Freemans Bay"
"1631","Waitematā",2,510800,"Henderson South"
"1632","Southern",22,604221,"Corstorphine West"
"1633","Taranaki",9,551600,"Upper Westown"
"1634","Waikato",5,527210,"Waerenga"
"1635","Waitematā",2,511402,"Rewarewa"
"1636","Waikato",5,527820,"Temple View"
"1637","Lakes",6,541730,"Tauhara"
"1638","Waikato",5,528700,"Beerescourt"
"1639","Southern",22,602422,"Saddle Hill"
"1640","Hawke's Bay",10,546801,"Hospital Hill"
"1641","Canterbury",18,590701,"Mona Vale"
"1642","Northland",1,501811,"Waiotira-Springfield"
"1643","Taranaki",9,553101,"Stratford West"
"1644","Northland",1,614700,"Inlet-Whangaroa Harbour"
"1645","Canterbury",18,587844,"Westmorland"
"1646","Canterbury",18,587846,"Halswell Domain"
"1647","Lakes",6,538820,"Tikitere"
"1648","Waitematā",2,506002,"Stillwater"
"1649","Taranaki",9,551013,"Bowden"
"1650","Canterbury",18,591300,"Heathcote Valley"
"1651","Counties Manukau",4,523115,"Baverstock Oaks"
"1652","Lakes",6,540300,"Ohinemutu"
"1653","Whanganui",11,555900,"Mosston"
"1654","Waikato",5,534901,"Morrinsville West"
"1655","Capital and Coast",14,566101,"Raumati Beach"
"1656","Whanganui",11,558200,"Marybank-Gordon Park"
"1657","Capital and Coast",14,576903,"Kilbirnie West-Hataitai South"
"1658","West Coast",17,584411,"Charleston"
"1659","Waitematā",2,507000,"Waiake"
"1660","Hawke's Bay",10,548612,"Lochain"
"1661","Counties Manukau",4,522920,"Edgewater"
"1662","Lakes",6,539100,"Western Heights"
"1663","Southern",22,611002,"Hawthorndale"
"1664","Southern",22,607600,"Tapanui"
"1665","MidCentral",12,561700,"Foxton"
"1666","Canterbury",18,597101,"Little River"
"1667","Auckland",3,516201,"Orakei South"
"1668","Counties Manukau",4,524901,"Hillpark"
"1669","Counties Manukau",4,523920,"Takanini West"
"1670","Wairarapa",15,580000,"Featherston"
"1671","MidCentral",12,578100,"Eketahuna"
"1672","Capital and Coast",14,575400,"Taitville"
"1673","Taranaki",9,552200,"Welbourn"
"1674","Hawke's Bay",10,545205,"Maungataniwha"
"1675","Southern",22,610052,"Oreti Beach"
"1676","Canterbury",18,587400,"Hornby North"
"1677","Canterbury",18,593000,"Wainoni"
"1678","Waitematā",2,511800,"Sunnyvale"
"1679","Waikato",5,530500,"University"
"1680","Capital and Coast",14,571800,"Pukerua Bay"
"1681","Northland",1,502400,"Otangarei"
"1682","Waikato",5,535340,"Stanley Park"
"1683","Southern",22,609400,"Balfour Community"
"1684","Taranaki",9,553001,"Whangamomona"
"1685","Southern",22,612902,"Inland Water-Lake Manapouri"
"1686","Bay of Plenty",7,538101,"Tauranga Hospital"
"1687","Southern",22,612712,"Manapouri"
"1688","Lakes",6,541502,"Te More"
"1689","Waikato",5,527921,"Te Rore"
"1690","Waikato",5,529800,"Clarkin"
"1691","Auckland",3,516500,"Mission Bay"
"1692","Counties Manukau",4,523300,"Beachlands-Maraetai"
"1693","Counties Manukau",4,525620,"Massey Park"
"1694","Canterbury",18,597812,"Allenton East"
"1695","Waitematā",2,505806,"Silverdale Central"
"1696","Waitematā",2,513012,"Palm Heights"
"1697","Hawke's Bay",10,548400,"Woolwich"
"1698","Auckland",3,514102,"Auckland Central West"
"1699","Southern",22,609011,"Milford"
"1700","Nelson Marlborough",16,581601,"Golden Bay"
"1701","Waitematā",2,506902,"Glamorgan"
"1702","Lakes",6,541319,"Lakewood"
"1703","Waitematā",2,512905,"Oratia West"
"1704","Taranaki",9,550901,"Bell Block"
"1705","Area outside District Health Board",99,619400,"Oceanic-Waikato Region East"
"1706","Waitematā",2,508412,"Witheford"
"1707","Counties Manukau",4,524405,"Favona South"
"1708","Bay of Plenty",7,542903,"Cape Runaway"
"1709","Waitematā",2,505604,"Kumeu East"
"1710","Waitematā",2,512401,"Edmonton"
"1711","Counties Manukau",4,521153,"Otaua"
"1712","West Coast",17,584409,"Buller Coalfields"
"1713","Whanganui",11,555900,"Mosston"
"1714","Waikato",5,533502,"Parawai"
"1715","Hawke's Bay",10,545722,"Whakatu"
"1716","Auckland",3,516003,"Abbotts Park"
"1717","Taranaki",9,551502,"Spotswood"
"1718","Southern",22,612400,"Te Anau"
"1719","Hawke's Bay",10,545631,"Meeanee"
"1720","MidCentral",12,578200,"Nireaha-Tiraumea"
"1721","Waitematā",2,507710,"Castor Bay"
"1722","Capital and Coast",14,574303,"Ngauranga West"
"1723","Southern",22,609013,"Glenorchy"
"1724","Canterbury",18,593900,"Bromley"
"1725","Waitematā",2,506652,"Rewiti"
"1726","Taranaki",9,551112,"Kaitake"
"1727","Capital and Coast",14,574600,"Wadestown"
"1728","MidCentral",12,563102,"Hokowhitu Lagoon"
"1729","MidCentral",12,564231,"Playford Park"
"1730","Taranaki",9,553900,"Normanby"
"1731","Counties Manukau",4,526105,"South Waiuku"
"1732","MidCentral",12,562922,"Awapuni South"
"1733","Hawke's Bay",10,546100,"Westshore"
"1734","Nelson Marlborough",16,580432,"Riverlands"
"1735","Canterbury",18,587303,"Oaklands West"
"1736","Waitematā",2,506653,"Riverhead"
"1737","West Coast",17,585400,"Hokitika Urban"
"1738","Nelson Marlborough",16,581811,"Richmond Hill"
"1739","Whanganui",11,557200,"St Johns Hill"
"1740","MidCentral",12,564013,"Kohitere"
"1741","Nelson Marlborough",16,581726,"Ranzau"
"1742","Waikato",5,534604,"Waihou-Walton"
"1743","Counties Manukau",4,523721,"Clover Park"
"1744","Auckland",3,516102,"Waitaramoa"
"1745","Counties Manukau",4,524720,"Homai East"
"1746","Hawke's Bay",10,545812,"Eskdale"
"1747","Counties Manukau",4,523820,"Redoubt South"
"1748","Hutt Valley",13,568601,"Waterloo West"
"1749","Southern",22,604611,"Musselburgh"
"1750","Lakes",6,539310,"Pukehangi North"
"1751","Nelson Marlborough",16,623900,"Inlet-Ligar Bay"
"1752","Waitematā",2,510020,"Beachhaven South"
"1753","Waitematā",2,505605,"Kumeu West"
"1754","Counties Manukau",4,525001,"Manurewa Central"
"1755","Southern",22,605400,"St Kilda West"
"1756","Waikato",5,527505,"Leamington East"
"1757","Waitematā",2,507101,"Browns Bay"
"1758","Southern",22,612712,"Manapouri"
"1759","Canterbury",18,586127,"Coldstream"
"1760","Hawke's Bay",10,545911,"Tutira"
"1761","Auckland",3,518801,"Walmsley"
"1762","West Coast",17,585322,"Waiho"
"1763","Waikato",5,527935,"Te Rahu"
"1764","Southern",22,600840,"Hampden"
"1765","Waikato",5,529501,"Porritt"
"1766","Waitematā",2,512100,"Green Bay"
"1767","Waikato",5,531500,"Piopio"
"1768","Tairāwhiti",8,543800,"Patutahi"
"1769","Hutt Valley",13,569100,"Hutt Central"
"1770","Northland",1,501631,"Okaihau"
"1771","Counties Manukau",4,525510,"Papakura South"
"1772","MidCentral",12,560412,"Maewa"
"1773","Capital and Coast",14,575600,"Brooklyn"
"1774","Canterbury",18,586120,"Woodend"
"1775","Northland",1,502900,"Woodhill"
"1776","Nelson Marlborough",16,581812,"Whangamoa"
"1777","Southern",22,604010,"Roslyn North"
"1778","Bay of Plenty",7,542300,"Te Teko"
"1779","Waikato",5,528310,"Bryant"
"1780","Waikato",5,528505,"Brymer"
"1781","Northland",1,502001,"Springs Flat"
"1782","Canterbury",18,597713,"Ashburton North"
"1783","Waikato",5,529000,"Swarbrick"
"1784","Hutt Valley",13,567500,"Poets Block"
"1785","Waitematā",2,508420,"Target Road"
"1786","Southern",22,609912,"Makarewa"
"1787","Northland",1,500802,"Hokianga South"
"1788","Lakes",6,538721,"Poets Corner"
"1789","Canterbury",18,593600,"Linwood North"
"1790","Counties Manukau",4,525201,"Clevedon"
"1791","Taranaki",9,553200,"Opunake"
"1792","MidCentral",12,561300,"Foxton Beach"
"1793","Auckland",3,514600,"Avondale South"
"1794","Taranaki",9,551023,"Fernleigh"
"1795","Bay of Plenty",7,536810,"Mt Maunganui North"
"1796","West Coast",17,584500,"Westport Urban"
"1797","Waitematā",2,512904,"Parrs Park"
"1798","Waikato",5,533502,"Parawai"
"1799","Canterbury",18,591900,"Papanui"
"1800","Waitematā",2,512903,"Parrs Park West"
"1801","Counties Manukau",4,521122,"Kingseat"
"1802","Southern",22,605920,"Concord"
"1803","West Coast",17,585324,"Bruce Bay-Paringa"
"1804","Waikato",5,528501,"Nawton"
"1805","Lakes",6,538812,"Inland Water-Lake Rotorua"
"1806","Southern",22,602100,"Waldronville"
"1807","Canterbury",18,597000,"Chatham Islands"
"1808","Taranaki",9,553003,"Toko"
"1809","Hawke's Bay",10,546200,"Ahuriri"
"1810","Auckland",3,517903,"Owairaka East"
"1811","Waitematā",2,513530,"Royal Heights"
"1812","Tairāwhiti",8,544004,"Tolaga Bay"
"1813","MidCentral",12,561812,"Longburn"
"1814","Canterbury",18,586405,"Courtenay"
"1815","Bay of Plenty",7,542514,"Maraetotara"
"1816","Northland",1,501809,"Wharekohe-Oakleigh"
"1817","Canterbury",18,592600,"Edgeware"
"1818","Nelson Marlborough",16,584305,"Jackett Island"
"1819","Bay of Plenty",7,536517,"Gravatt"
