"","DHB2015_name","DHB2015_code","AU2017_code","AU2017_name"
"393","Waitematā",2,510402,"Chelsea"
"394","Whanganui",11,555100,"Raetihi"
"395","Lakes",6,541312,"Wairakei-Aratiatia"
"396","Southern",22,608800,"Wanaka"
"397","Waitematā",2,513610,"Massey West"
"398","Hawke's Bay",10,548822,"Havelock Hills"
"399","Waitematā",2,511902,"Crum Park"
"400","Auckland",3,520401,"Ferndale"
"401","Wairarapa",15,578302,"Opaki-Fernridge"
"402","Southern",22,610031,"Kaweku"
"403","Bay of Plenty",7,538501,"Te Puke West"
"404","Southern",22,600811,"Pukeuri"
"405","Hawke's Bay",10,545761,"Irongate"
"406","Bay of Plenty",7,538201,"Tauranga Central"
"407","Hutt Valley",13,568101,"Tawhai"
"408","South Canterbury",19,600320,"Lake Tekapo"
"409","South Canterbury",19,599300,"Gleniti"
"410","Waikato",5,527401,"Huntly West"
"411","Hawke's Bay",10,548611,"Kingsley-Chatham"
"412","Hutt Valley",13,566500,"Te Marua"
"413","Canterbury",18,586603,"Mandeville"
"414","Auckland",3,516202,"Waiata"
"415","Auckland",3,520303,"Mt Wellington North"
"416","Waikato",5,527124,"Newstead"
"417","Southern",22,603100,"Stuart St-Frederick St"
"418","Canterbury",18,585808,"Ashley"
"419","West Coast",17,584937,"Nelson Creek-Ngahere"
"420","Southern",22,600832,"Inland Water-Lake Ohau"
"421","Canterbury",18,592812,"Dallington"
"422","Whanganui",11,558500,"Waiouru"
"423","Southern",22,602300,"Middlemarch"
"424","Whanganui",11,556300,"Gonville East"
"425","Southern",22,600824,"Kurow"
"426","Northland",1,504900,"Kaiwaka"
"427","Capital and Coast",14,563703,"Waikanae East"
"428","Counties Manukau",4,524902,"Manurewa East"
"429","Southern",22,609200,"Arrowtown"
"430","MidCentral",12,578000,"Pahiatua"
"431","Waikato",5,531304,"Otorohanga Rural East"
"432","Canterbury",18,590603,"Waimairi Beach"
"433","Lakes",6,541313,"Maunganamu"
"434","Southern",22,610500,"Winton"
"435","Canterbury",18,587847,"Hendersons Basin"
"436","Auckland",3,518201,"Balmoral"
"437","Waikato",5,530300,"Naylor"
"438","Waikato",5,533300,"Whangamata"
"439","Waikato",5,533000,"Whitianga"
"440","Capital and Coast",14,574302,"Te Kainga"
"441","West Coast",17,584412,"Inangahua Junction"
"442","South Canterbury",19,600500,"Waimate"
"443","Waitematā",2,510010,"Beachhaven North"
"444","Waikato",5,526702,"Te Akau"
"445","Taranaki",9,554800,"Waverley"
"446","Hutt Valley",13,568502,"Epuni East"
"447","Auckland",3,520500,"Mt Wellington South"
"448","Northland",1,503200,"Riverside"
"449","Nelson Marlborough",16,583500,"Nelson Airport"
"450","Northland",1,501400,"Kawakawa"
"451","Taranaki",9,551024,"Barrett"
"452","Area outside District Health Board",99,614002,"Kermadec Islands"
"453","Waikato",5,533903,"Kerepehi"
"454","Waitematā",2,505603,"Riverhead Urban"
"455","Lakes",6,541318,"Rangatira"
"456","Lakes",6,540520,"Glenholme West"
"457","Nelson Marlborough",16,581230,"Blenheim Central"
"458","Hawke's Bay",10,547700,"St Leonards"
"459","Canterbury",18,597840,"Ashburton Central East"
"460","Auckland",3,518901,"Lynfield North"
"461","Canterbury",18,586112,"Waikuku"
"462","Northland",1,501819,"Bream Head"
"463","Auckland",3,516800,"Glendowie"
"464","West Coast",17,584939,"Lake Brunner"
"465","Lakes",6,541335,"Oruanui"
"466","Canterbury",18,625200,"Oceanic-Chatham Islands"
"467","Waikato",5,535360,"Aotea"
"468","Counties Manukau",4,523819,"Mill Road"
"469","Southern",22,612901,"Fiordland"
"470","MidCentral",12,549902,"Mara"
"471","Southern",22,610072,"Waituna"
"472","Southern",22,604710,"St Leonards-Blanket Bay"
"473","Taranaki",9,553002,"Douglas"
"474","Waikato",5,527006,"Flagstaff"
"475","Canterbury",18,587846,"Halswell Domain"
"476","Northland",1,503400,"Maunu"
"477","MidCentral",12,560302,"Whakarongo"
"478","Northland",1,504600,"Dargaville"
"479","Counties Manukau",4,526106,"Pukeoware"
"480","Auckland",3,515202,"St Marys"
"481","Lakes",6,540200,"Koutu"
"482","Hutt Valley",13,569500,"Kelson"
"483","Canterbury",18,590300,"Middleton"
"484","Waitematā",2,509000,"Paremoremo East"
"485","Northland",1,504502,"Maungaru"
"486","Hawke's Bay",10,546300,"Onekawa Central"
"487","Canterbury",18,597811,"Allenton West"
"488","Southern",22,613000,"Stewart Island"
"489","Hawke's Bay",10,545811,"Tangoio"
"490","Southern",22,611100,"Richmond"
"491","West Coast",17,585120,"Blaketown"
"492","Waikato",5,527914,"Ngahinapouri"
"493","Canterbury",18,597714,"Fairton"
"494","Southern",22,610075,"Tiwai Point"
"495","Hutt Valley",13,568102,"Holborn"
"496","Canterbury",18,586408,"Kaiapoi North West"
"497","Canterbury",18,590506,"Highfield Park"
"498","Southern",22,607900,"Ranfurly"
"499","Hutt Valley",13,564530,"Pinehaven"
"500","Whanganui",11,554900,"Tangiwai"
"501","Area outside District Health Board",99,626602,"Campbell Island"
"502","Northland",1,502800,"Regent"
"503","Waikato",5,527401,"Huntly West"
"504","Hawke's Bay",10,545621,"Poraiti"
"505","Canterbury",18,588300,"Casebrook"
"506","Hutt Valley",13,564601,"Moonshine Valley"
"507","Canterbury",18,593400,"Avonside"
"508","Southern",22,604130,"Kenmure"
"509","Hutt Valley",13,568302,"Naenae North"
"510","Lakes",6,538602,"Ngongotaha South"
"511","Capital and Coast",14,573522,"Grenada North"
"512","Capital and Coast",14,575500,"Mitchelltown"
"513","Hutt Valley",13,567800,"Heretaunga-Silverstream"
"514","Area outside District Health Board",99,628000,"Ross Dependency"
"515","Counties Manukau",4,523102,"Meadowland"
"516","Area outside District Health Board",99,619701,"Moutohora Island"
"517","Waitematā",2,506648,"Helensville South"
"518","Hutt Valley",13,567700,"Trentham North"
"519","Waitematā",2,511700,"Kelston Central"
"520","MidCentral",12,562600,"Terrace End"
"521","Counties Manukau",4,523115,"Baverstock Oaks"
"522","Southern",22,603500,"Woodhaugh"
"523","Hutt Valley",13,568301,"Avalon East"
"524","Tairāwhiti",8,544002,"Tiniroto"
"525","Southern",22,608302,"Dunstan"
"526","Nelson Marlborough",16,580450,"Wairau South"
"527","Southern",22,602200,"Outram"
"528","Southern",22,611602,"Strathern"
"529","Hutt Valley",13,566610,"Akatarawa"
"530","Northland",1,501634,"Ngapuhi-Kaikou"
"531","Canterbury",18,589800,"Avonhead West"
"532","Auckland",3,521000,"Great Barrier Island"
"533","Northland",1,501614,"Kapiro"
"534","Southern",22,610061,"Dacre"
"535","Canterbury",18,596502,"Diamond Harbour"
"536","Whanganui",11,556600,"Springvale East"
"537","MidCentral",12,550200,"Papatawa"
"538","Southern",22,612200,"Nightcaps"
"539","Nelson Marlborough",16,580420,"Omaka"
"540","Southern",22,609013,"Glenorchy"
"541","Capital and Coast",14,563920,"Kaitawa"
"542","Canterbury",18,595200,"Hoon Hay South"
"543","Capital and Coast",14,577101,"Seatoun Tunnel West"
"544","Hutt Valley",13,567400,"Elderslea"
"545","Nelson Marlborough",16,623803,"Oceanic-Tasman Region"
"546","Waikato",5,527123,"Kainui"
"547","Bay of Plenty",7,536509,"Waikareao Estuary"
"548","Taranaki",9,552701,"Egmont Village"
"549","Auckland",3,519002,"Waikowhai East"
"550","Waitematā",2,511602,"Glendene South"
"551","Area outside District Health Board",99,623804,"Oceanic-Nelson Region"
"552","Nelson Marlborough",16,581825,"Mapua"
"553","Canterbury",18,586114,"Cust"
"554","Nelson Marlborough",16,581713,"Glenduan"
"555","Southern",22,600828,"Kakanui"
"556","Taranaki",9,553601,"Eltham"
"557","Capital and Coast",14,571502,"Papakowhai South"
"558","Auckland",3,515003,"Point Chevalier South"
"559","Waitematā",2,507500,"Campbells Bay"
"560","West Coast",17,584934,"Greymouth Rural"
"561","Nelson Marlborough",16,580452,"Fairhall"
"562","Waitematā",2,507710,"Castor Bay"
"563","Northland",1,501620,"Pokere-Waihaha"
"564","Capital and Coast",14,572100,"Paremata-Postgate"
"565","Northland",1,501000,"Russell"
"566","Lakes",6,538601,"Ngongotaha North"
"567","Canterbury",18,593501,"Linwood"
"568","Bay of Plenty",7,536831,"Arataki"
"569","Southern",22,604810,"Inner Peninsula"
"570","Northland",1,504501,"Kaipara Coastal"
"571","Waikato",5,527600,"Ohaupo"
"572","Counties Manukau",4,522603,"Bleakhouse"
"573","Counties Manukau",4,522711,"Pigeon Mountain North"
"574","Canterbury",18,589602,"Merrin"
"575","Waikato",5,528406,"Rotokauri"
"576","Auckland",3,517600,"St Lukes"
"577","MidCentral",12,561100,"Tangimoana"
"578","Auckland",3,518201,"Balmoral"
"579","Auckland",3,515002,"Point Chevalier East"
"580","Whanganui",11,559220,"Pohonui-Porewa"
"581","Lakes",6,541503,"Taharua"
"582","Nelson Marlborough",16,583800,"Maitlands"
"583","Canterbury",18,586303,"Rangiora East"
"584","Lakes",6,541346,"Tongariro"
"585","Northland",1,504300,"Hikurangi"
"586","Counties Manukau",4,521115,"Opuawhanga"
"587","Canterbury",18,592000,"Aorangi"
"588","Canterbury",18,596200,"Sumner"
"589","Northland",1,500208,"Motutangi-Kareponia"
"590","Hawke's Bay",10,546600,"Marewa"
"591","Hutt Valley",13,567902,"Mangaroa"
"592","Waitematā",2,510401,"Kauri Park"
"593","Waitematā",2,506644,"Parakai Rural"
"594","Southern",22,606100,"Mosgiel East"
"595","MidCentral",12,550500,"Woodville"
"596","Area outside District Health Board",99,617605,"Inlet-Manukau Harbour"
